CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR
130EDF0230,ENTR. BR-251(A),ENTR. BR-251(B),3.4,PAV,CA,-,251BDF0525,2.457,DF-18/DF-130
130EDF0250,ENTR. BR-251(B),ENTR. DF-295/ DIVISA DF/GO,9.8,PAV,CA,-,-,2.313,-
131EDF0010,DIVISA GO/DF,ENTR. DF-205,3.0,IMP,-,-,-,247,DF-15/DF-335
131EDF0030,ENTR. DF-205,ENTR. DF-335,4.5,PAV,-,-,-,467,DF-335
131EDF0050,ENTR. DF-335,ENTR. DF-128,1.8,PAV,-,-,-,467,DF-335
135EDF0010,ENTR. BR-251,ENTR. VC-467,13.2,PLA,-,-,-,-,DF-13
135EDF0030,ENTR. VC-467,DIVISA DF/GO,2.5,IMP,-,-,-,210,DF-13
140EDF0010,ENTR. DF-001 (EPCT),ENTR. BR-251,1.3,DUP,CA,-,-,10.971,DF-11
140EDF0030,ENTR. BR-251,ENTR. VC-467,7.1,EOD,CA,-,-,5.591,DF-11
140EDF0050,ENTR. VC-467,ENTR. DIVISA DF/GO,6.4,EOD,TSD,-,-,5.916,DF-11
150EDF0010,ENTR. BR-010/ 020/030/DF-001/003 (PARQUE RODOVIÁRIO DO DER-DF),ACESSO A SOBRADINHO II,6.9,DUP,CA,-,-,23.866,DF-7
150EDF0050,ACESSO A SOBRADINHO II,ENTR. DF-205,6.6,PAV,CA,-,-,9.470,DF-7
170EDF0010,DIVISA GO/DF,ENTR. DF-001 (EPCT),10.5,IMP,-,-,-,647,DF-5
180EDF0190,ENTR. BR-080(B)/ BR-251(B) /DF-445,ENTR. VC-555,0.9,PAV,TSD,-,-,7.459,DF-3
180EDF0210,ENTR. VC-555,ENTR. VC-561,0.9,PAV,TSD,-,-,7.459,DF-3
180EDF0230,ENTR. VC-561,ENTR. BR-070(A),5.8,PAV,TSD,-,-,7.459,DF-3
180EDF0250,ENTR. BR-070(A),ENTR. BR-070(B),2.6,DUP,CA,-,070BDF0030,29.904,DF-3
180EDF0270,ENTR. BR-070(B),ENTR. DF-190,4.3,PAV,TSD,-,-,10.881,DF-3
180EDF0290,ENTR. DF-190,ENTR. VC-311,6.7,PAV,TSD,-,-,10.881,DF-3
180EDF0310,ENTR. VC-311,ACESSO A SAMAMBAIA,4.8,PAV,TSD,-,-,5.880,DF-3
180EDF0330,ACESSO A SAMAMBAIA,ENTR. BR-060,0.9,PAV,TSD,-,-,8.200,DF-3
180EDF0350,ENTR. BR-060,ENTR. VC-337(A),1.4,PAV,TSD,-,-,6.643,DF-3
180EDF0370,ENTR. VC-337(A),ENTR. VC-337(B),6.0,PAV,TSD,-,-,6.643,DF-3
180EDF0390,ENTR. VC-337(B),ENTR. VC-351,3.1,PAV,TSD,-,-,6.643,DF-3
180EDF0410,ENTR. VC-351,ENTR. DF-290,2.0,PAV,TSD,-,-,6.643,DF-3
190EDF0010,ENTR. DF-180,ENTR. VC-321,5.9,PAV,TSD,-,-,3.460,DF-1
190EDF0030,ENTR. VC-321,ENTR. DF-280(A),10.0,PAV,TSD,-,-,3.460,DF-1
190EDF0050,ENTR. DF-280(A),ENTR. DF-280(B),1.0,PAV,TSD,280EDF0012,-,10.518,DF-1
190EDF0070,ENTR. DF-280(B),ENTR. BR-060,5.8,PLA,-,-,-,-,DF-1
205EDF0010,DIVISA GO/DF,ENTR. VC-201(A),1.5,IMP,-,-,-,231,DF-2
205EDF0030,ENTR. VC-201(A),INÍCIO DE TRECHO PAVIMENTADO (km. 11),9.5,PAV,-,-,-,231,DF-2
205EDF0050,INÍCIO DE TRECHO PAVIMENTADO (km. 11.0),5.8,5,PAV,CA,-,-,1.956,DF-2
205EDF0070,ENTR. DF-150,ENTR. DF-326,2.8,PAV,CA,-,-,8.094,DF-2
205EDF0090,ENTR. DF-326,ENTR. VC-201(B),5.9,PAV,CA,-,-,1.956,DF-2
205EDF0110,ENTR. VC-201(B),FIM DE TRECHO PAVIMENTADO (km. 33.6),6.5,PAV,CA,-,-,1.956,DF-2
205EDF0130,FIM DE TRECHO PAVIMENTADO (km. 33.6),4.11,8,IMP,-,-,-,217,DF-2
205EDF0150,ENTR. DF-131,ENTR. DF-128,7.1,PAV,CA,-,-,464,DF-2
205EDF0170,ENTR. DF-128,ENTR. BR-010/DF-345,9.9,IMP,-,-,-,164,DF-2
205EDF0190,ENTR. BR-010/DF-345,ENTR. DF-405,2.1,IMP,-,-,-,191,DF-2
205EDF0230,ENTR. VC-103,ENTR. DF-110,4.5,IMP,-,-,-,164,DF-2
205EDF0250,ENTR. DF-110,ENTR. GO-430,1.9,IMP,-,-,-,2.172,DF-2
205EDF0270,ENTR. GO-430,DIVISA DF/GO,6.8,PAV,TSD,-,-,2.172,DF-2
206EDF0010,ENTR. BR-080/251,ENTR. VC-505,2.9,IMP,-,-,-,458,DF-2
206EDF0030,ENTR. VC-505,DIVISA DF/GO,5.0,IMP,-,-,-,458,DF-2
220EDF0010,ENTR. BR-080/251,ENTR. DF-445,5.0,PAV,-,-,-,507,DF-4
220EDF0030,ENTR. DF-445,FIM DA PAVIMENTAÇÃO,0,PAV,-,-,-,507,DF-4
220EDF0050,FIM DA PAVIMENTAÇÃO,ENTR. DF-001 (EPCT),5,EOP,-,-,-,-,DF-4
230EDF0010,ENTR. BR-010/BR-020/ BR-030,ENTR. DF-128,3.8,PAV,TSD,-,-,9.616,DF-410
230EDF0030,ENTR. DF-128,ENTR. DF-130,4.1,PAV,CA,-,-,9.616,DF-15/DF-130
230EDF0050,ENTR. DF-130,ENTR. DF-345,2.3,PAV,CA,-,-,3.940,-
230EDF0070,ENTR. DF-345,ENTR. VC-137(A),7.3,PAV,-,-,-,1.249,-
230EDF0090,ENTR. VC-137(A),ENTR. VC-127/VC- 137(B),4.3,PAV,-,-,-,1.249,FZ-47
230EDF0110,ENTR. VC-127/VC- 137(B),ENTR. DF-410,2.0,PAV,-,-,-,657,-
230EDF0130,ENTR. DF-410,ENTR. VC-139,1.7,IMP,-,-,-,116,DF-405
230EDF0150,ENTR. VC-139,ENTR. DF-353,2.5,IMP,-,-,-,116,DF-405
230EDF0170,ENTR. DF-353,ENTR. DF-110(A),0.5,IMP,-,-,-,73,-
230EDF0190,ENTR. DF-110(A),ENTR. DF-110(B),0.5,IMP,-,110EDF0090,-,127,-
230EDF0210,ENTR. DF-110(B),ENTR. DF-105,13.0,PLA,-,-,-,-,-
230EDF0230,ENTR. DF-105,ENTR. DF-100,4.0,PLA,-,-,-,-,-
250EDF0010,ENTR. BR-479(A)/ DF-001 (EPCT)/ DF-015 (EPTM),E N T R. DF-456,4.5,DUP,TSD,-,479BDF0132B,22.114,DF-6
250EDF0020,ENTR. DF-456,ENTR. DF-330,5.1,PAV,CA,-,479BDF0132A,8.055,DF-6
