u,v,codigo,sentido,rodovia,situacao,pavimentada,extensao_km,tmd_der,v_limite,v_livre_tomtom,tomtom_compartilhado,faixas_estimadas,capacidade_estimada,tem_contagem,vol_7h,vc_7h,vol_18h,vc_18h,K_observado,t_livre_s
46,15,003EDF0250,crescente,DF-003,DUP,True,3.3,45318.0,80.0,80.0,False,2,3600,False,,,,,,148.49999999999997
15,46,003EDF0250,decrescente,DF-003,DUP,True,3.3,45318.0,80.0,80.0,False,2,3600,True,2461.0,0.6836111111111111,1394.0,0.38722222222222225,,148.49999999999997
31,47,004EDF0010,crescente,DF-004,DUP,True,0.9,25189.0,80.0,65.0,False,2,3600,True,3873.0,1.0758333333333334,2274.0,0.6316666666666667,,49.84615384615385
47,31,004EDF0010,decrescente,DF-004,DUP,True,0.9,25189.0,80.0,65.0,False,2,3600,True,1233.5,0.3426388888888889,2919.5,0.8109722222222222,,49.84615384615385
47,48,004EDF0030,crescente,DF-004,DUP,True,3.6,22148.0,80.0,24.0,False,2,3600,False,,,,,,540.0
48,47,004EDF0030,decrescente,DF-004,DUP,True,3.6,22148.0,80.0,24.0,False,2,3600,False,,,,,,540.0
48,49,004EDF0050,crescente,DF-004,DUP,True,1.9,42172.0,80.0,67.0,True,2,3600,False,,,,,,102.08955223880596
49,48,004EDF0050,decrescente,DF-004,DUP,True,1.9,42172.0,80.0,67.0,True,2,3600,False,,,,,,102.08955223880596
49,50,004EDF0070,crescente,DF-004,DUP,True,1.9,14973.0,80.0,67.0,True,2,3600,False,,,,,,102.08955223880596
50,49,004EDF0070,decrescente,DF-004,DUP,True,1.9,14973.0,80.0,67.0,True,2,3600,True,1942.0,0.5394444444444444,2307.0,0.6408333333333334,,102.08955223880596
50,51,004EDF0090,crescente,DF-004,DUP,True,1.5,37652.0,80.0,67.0,True,2,3600,False,,,,,,80.59701492537313
51,50,004EDF0090,decrescente,DF-004,DUP,True,1.5,37652.0,80.0,67.0,True,2,3600,True,4449.5,1.2359722222222222,5939.0,1.6497222222222223,,80.59701492537313
51,52,004EDF0110,crescente,DF-004,DUP,True,0.4,53241.0,80.0,67.0,True,2,3600,False,,,,,,21.492537313432837
52,51,004EDF0110,decrescente,DF-004,DUP,True,0.4,53241.0,80.0,67.0,True,2,3600,False,,,,,,21.492537313432837
52,53,004EDF0130,crescente,DF-004,DUP,True,3.1,59796.0,80.0,26.0,False,2,3600,True,2503.0,0.6952777777777778,3336.0,0.9266666666666666,,429.2307692307692
53,52,004EDF0130,decrescente,DF-004,DUP,True,3.1,59796.0,80.0,26.0,False,2,3600,True,2805.0,0.7791666666666667,4087.0,1.1352777777777778,,429.2307692307692
53,54,004EDF0150,crescente,DF-004,DUP,True,2.8,49574.0,80.0,38.0,False,2,3600,True,1553.5,0.4315277777777778,1976.0,0.5488888888888889,,265.2631578947368
